Product SKU,Database Price,Shopify Price,Status,Notes
0036599,3.25,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0048827,5.38,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0060592,1023.9,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0080407,3.55,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0090961,44.44,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0091766,14.19,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0091768,9.51,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0091774,6.99,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0091847,2.21,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0091964,5.83,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0092489,9.69,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0100675,411.54,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0102308,0.97,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0102638,480.9,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0119185,3795,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0120897,23.76,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
0120901,5.52,N/A,ONLY_IN_DATABASE,Needs to be added to Shopify
