Product SKU,Database Price,Shopify Price,Price Changed,Difference
0000157,10.64,9.25,TRUE,1.39
0000184,3.84,3.28,TRUE,0.56
0000230,7.61,6.23,TRUE,1.38
0000233,13.14,11.2,TRUE,1.94
0000234,20.96,19.48,TRUE,1.48
0000235,16.63,14.27,TRUE,2.36
0000808,12.1,11.43,TRUE,0.67
0000829,6.75,6.45,TRUE,0.3
0000849,2.11,2.17,TRUE,0.06
0001189,13.17,13.14,TRUE,0.03
0001428,21.93,16.12,TRUE,5.81
0002173,32.4,39.22,TRUE,6.82
0002321,27.9,47.66,TRUE,19.76
0002383,70.4,25,TRUE,45.4
0002457,12.96,12.22,TRUE,0.74
0002759,18.8,22,TRUE,3.2
0002822,12.24,11.84,TRUE,0.4
0002823,11.65,11.23,TRUE,0.42
0002908,344.58,299.63,TRUE,44.95
0002910,306.64,291.38,TRUE,15.26
0002911,162.91,124.24,TRUE,38.67
0002912,325.65,309.94,TRUE,15.71
0002913,330.94,253.97,TRUE,76.97
0004059,1.9,1.54,TRUE,0.36
0004142,1.36,1.5,TRUE,0.14
0004158,1.6,0.85,TRUE,0.75
0004562,0.32,0.23,TRUE,0.09
0004666,0.72,0.69,TRUE,0.03
0007070,14.8,19.66,TRUE,4.86
0009211,12.8,12.66,TRUE,0.14
0009219,17.3,16.88,TRUE,0.42
0009234,13.13,11.82,TRUE,1.31
0009240,10.75,9.82,TRUE,0.93
0009241,10.11,9.28,TRUE,0.83
0009242,10.1,9.28,TRUE,0.82
0009244,10.11,9.28,TRUE,0.83
0009246,10.11,9.28,TRUE,0.83
0009351,63.59,59.44,TRUE,4.15
0013977,7.63,9.6,TRUE,1.97
0014035,11.64,52.24,TRUE,40.6
0014440,15.3,11.27,TRUE,4.03
0014614,489.95,470.27,TRUE,19.68
0014622,349.42,280.45,TRUE,68.97
0014626,165.65,97.35,TRUE,68.3
0014629,150.46,140.34,TRUE,10.12
0014658,11.86,9.89,TRUE,1.97
0014668,15.81,13.82,TRUE,1.99
0014674,20.4,17.75,TRUE,2.65
0014766,33,17.22,TRUE,15.78
0014855,16.78,9.5,TRUE,7.28
0014860,27.09,22.89,TRUE,4.2
0015330,1.3,1.23,TRUE,0.07
0016450,17.95,20.95,TRUE,3
0016962,223,219.43,TRUE,3.57
0029353,7.3,5.92,TRUE,1.38
0030584,4.3,3.76,TRUE,0.54
0033600,31.05,22.98,TRUE,8.07
0035353,19.22,14.23,TRUE,4.99
0037183,14.63,11.41,TRUE,3.22
0037185,27.45,25.95,TRUE,1.5
0037186,39.23,28.13,TRUE,11.1
0037188,22.7,21.73,TRUE,0.97
0037191,19.01,15.81,TRUE,3.2
0037192,5.15,3.89,TRUE,1.26
0037194,29.8,23.8,TRUE,6
0037195,40.44,38.93,TRUE,1.51
0039147,10.41,9.18,TRUE,1.23
0047450,400.74,335.39,TRUE,65.35
0048256,4.08,3.66,TRUE,0.42
0048629,552,300,TRUE,252
0051066,476.03,337.9,TRUE,138.13
0052867,493.65,309.55,TRUE,184.1
0053677,382.96,270.19,TRUE,112.77
0054776,9.58,8.31,TRUE,1.27
0055363,22.93,22.69,TRUE,0.24
0055960,411.66,272.43,TRUE,139.23
0056635,387.3,339.02,TRUE,48.28
0056645,505.66,379.68,TRUE,125.98
0059722,3.73,3.53,TRUE,0.2
0061831,173.22,135.49,TRUE,37.73
0063090,15.82,17.73,TRUE,1.91
0063851,10,8,TRUE,2
0064381,1080,1016.8,TRUE,63.2
0066307,8.95,7.41,TRUE,1.54
0066698,10.71,10.25,TRUE,0.46
0067055,16.71,14.05,TRUE,2.66
0078229,152,288,TRUE,136
0078353,8.71,7.66,TRUE,1.05
0079238,66.96,65.99,TRUE,0.97
0079387,14.83,11.86,TRUE,2.97
0079393,81.8,75.08,TRUE,6.72
0080283,375.01,307.17,TRUE,67.84
0081771,2.35,2.21,TRUE,0.14
0081857,5.25,4.92,TRUE,0.33
0081953,352.35,247.3,TRUE,105.05
0081987,451.14,375.98,TRUE,75.16
0087062,158.53,157.15,TRUE,1.38
0089077,12.81,11.71,TRUE,1.1
0089986,5.25,4.15,TRUE,1.1
0089999,16.6,13.09,TRUE,3.51
0090048,19.61,16.37,TRUE,3.24
0090332,5.15,4.92,TRUE,0.23
0090910,1238,1176.25,TRUE,61.75
0092217,391.47,384.74,TRUE,6.73
