CUSTID,SKU,CATEGORY,REF_COST,MAX_SELLPRICE,MAP,FINAL_PRICE
00066 ,0002936,LIT ,0,0,0,0
00066 ,0002937,LIT ,0,0,0,0
00066 ,0002938,LIT ,0,0,0,0
00066 ,0002939,LIT ,0,0,0,0
00066 ,0031289,LIT ,0,0,0,0
00066 ,0031842,LIT ,0,0,0,0
00066 ,0032059,LIT ,0,0,0,0
00066 ,0060488,LIT ,0,0,0,0
00066 ,0060901,LIT ,0,0,0,0
00066 ,0066318,LIT ,0,0,0,0
00066 ,0002959,LIT ,0,0,0,0
00066 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00066 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00066 ,0003009,LIT ,3.24597,0,0,32459.7
00066 ,0003010,LIT ,0.226345,0,0,2263.45
00066 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00066 ,0002936,LIT ,0,0,0,0
00066 ,0002937,LIT ,0,0,0,0
00066 ,0032907,LIT ,0,0,0,0
00066 ,0032908,LIT ,0,0,0,0
00066 ,0031289,LIT ,0,0,0,0
00066 ,0031842,LIT ,0,0,0,0
00066 ,0032059,LIT ,0,0,0,0
00066 ,0060488,LIT ,0,0,0,0
00066 ,0060901,LIT ,0,0,0,0
00066 ,0066318,LIT ,0,0,0,0
00066 ,0002959,LIT ,0,0,0,0
00066 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00066 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00066 ,0003009,LIT ,3.24597,0,0,32459.7
00066 ,0003010,LIT ,0.226345,0,0,2263.45
00066 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00066 ,0066967,LIT ,0,0,0,0
00066 ,0003029,NONE,13.554309999999997,0,0,135543.1
00066 ,0003030,FLRS,1.56,0,0,15600
00066 ,0003031,FLRS,7.41,0,0,74100
00066 ,0003032,FLRS,1.015,0,0,10150
00066 ,0046979,L L ,0.49937999999999994,0,0,4993.8
00066 ,0003033,L L ,0,0,0,0
00066 ,0003034,L L ,0,0,0,0
00066 ,0052284,L L ,0.7104999999999999,0,0,7105
00066 ,0003035,L L ,0,0,0,0
00066 ,0003036,L L ,0,0,0,0
00066 ,0003037,L L ,3.184055,0,0,31840.55
00066 ,0003038,L L ,0.7104999999999999,0,0,7105
00066 ,0003039,L L ,0.658735,0,0,6587.35
00066 ,0003040,L L ,1.6097899999999998,0,0,16097.9
00066 ,0003041,L L ,2.56,0,0,25600
00066 ,0003042,L L ,1.35,0,0,13500
00066 ,0003043,L L ,0.4770499999999999,0,0,4770.5
00066 ,0003044,L L ,0,0,0,0
00066 ,0003045,L L ,0,0,0,0
00066 ,0003046,L L ,0,0,0,0
00066 ,0024653,L L ,0.5724599999999999,0,0,5724.6
00066 ,0003047,L L ,0,0,0,0
00066 ,0036509,L L ,3.89151,0,0,38915.1
00066 ,0029717,L L ,0,0,0,0
00066 ,0034615,L L ,1.8665849999999997,0,0,18665.85
00066 ,0003048,L L ,0.8119999999999999,0,0,8120
00066 ,0003049,L L ,2.8531649999999997,0,0,28531.65
00066 ,0003050,L L ,2.225895,0,0,22258.95
00066 ,0003051,L L ,0,0,0,0
00066 ,0028043,L L ,0,0,0,0
00066 ,0052128,L L ,0,0,0,0
00066 ,0067256,L L ,0.532875,0,0,5328.75
00066 ,0003052,L L ,0,0,0,0
00066 ,0003055,L L ,1.5123499999999999,0,0,15123.5
00066 ,0003058,L L ,0.9175599999999999,0,0,9175.6
00066 ,0003059,L L ,0,0,0,0
00066 ,0003060,L L ,0.47907999999999995,0,0,4790.8
00066 ,0003061,L L ,1.93,0,0,19300
