CUSTID,SKU,CATEGORY,REF_COST,MAX_SELLPRICE,MAP,FINAL_PRICE
00066 ,0000102,DEUT,414.1,0,0,662.56
00066 ,0000105,VISI,189.625,0,0,303.4
00066 ,0000106,DEUT,442.8,0,0,708.48
00066 ,0000110,DEUT,455.1,0,0,728.16
00066 ,0000115,DEUT,533,0,0,852.8
00066 ,0000116,DEUT,533,0,0,852.8
00066 ,0000122,SCI ,133.7625,0,0,214.02
00066 ,0000123,DEUT,290.9975,0,0,465.6
00066 ,0000124,PHOT,4.88,0,0,7.81
00066 ,0000125,PHOT,10.3935,0,0,16.63
00066 ,0000128,DEUT,599.625,0,0,959.4
00066 ,0000130,DEUT,442.8,0,0,708.48
00066 ,0000131,DEUT,350.55,759,0,560.88
00066 ,0000133,DEUT,423.325,916,0,677.32
00066 ,0000134,DEUT,313.65,0,0,501.84
00066 ,0000150,GERM,24.28225,0,0,38.85
00066 ,0000156,GERM,9.9835,0,0,15.97
00066 ,0000157,GERM,5.41,0,0,8.66
00066 ,0000161,SCI ,40.07,0,0,64.11
00066 ,0000163,GERM,19.5,0,0,31.2
00066 ,0000179,GERM,25.61475,0,0,40.98
00066 ,0000183,GERM,6.806,0,0,10.89
00066 ,0000184,GERM,1.92,0,0,3.07
00066 ,0000187,GERM,36.31,0,0,58.1
00066 ,0000192,GERM,6.0475,0,0,9.68
00066 ,0000194,GERM,4.85,9,0,7.76
00066 ,0000195,GERM,6.4985,9.24,0,9.24
00066 ,0000226,GERM,6.88,0,0,11.01
00066 ,0000230,GERM,3.53625,0,0,5.66
00066 ,0000233,GERM,6.36525,0,0,10.18
00066 ,0000234,GERM,11.07,0,0,17.71
00066 ,0000235,GERM,8.35,0,0,13.36
00066 ,0000242,SCI ,234,0,0,374.4
00066 ,0000246,DEUT,598.6,0,0,957.76
00066 ,0000247,DEUT,455.1,0,0,728.16
00066 ,0000249,SCI ,198.86025,0,0,318.18
00066 ,0000250,SCI ,222.57875,0,0,356.13
00066 ,0000253,DEUT,521.2125,0,0,833.94
00066 ,0000255,DEUT,442.8,0,0,708.48
00066 ,0000256,SCI ,91.225,0,0,145.96
00066 ,0000257,SCI ,91.225,0,0,145.96
00066 ,0000259,SCI ,261.375,0,0,418.2
00066 ,0000262,SCI ,311.6,0,0,498.56
00066 ,0000265,SCI ,321.85,0,0,514.96
00066 ,0000266,SCI ,429.475,0,0,687.16
00066 ,0000267,SCI ,166.05,0,0,265.68
00066 ,0000268,SCI ,94.3,0,0,150.88
00066 ,0000269,SCI ,94.3,0,0,150.88
00066 ,0000270,SCI ,316.725,0,0,506.76
00066 ,0000292,SCI ,281.875,0,0,451
00066 ,0000293,SCI ,79.089,0,0,126.54
00066 ,0000294,SCI ,93.7055,0,0,149.93
00066 ,0000295,SCI ,172.2,0,0,275.52
00066 ,0000296,SCI ,171.175,0,0,273.88
00066 ,0000298,SCI ,283.925,0,0,454.28
00066 ,0000299,SCI ,281.875,0,0,451
00066 ,0000300,SCI ,120.95,0,0,193.52
00066 ,0000301,SCI ,176.874,0,0,283
00066 ,0000302,SCI ,284.9705,0,0,455.95
00066 ,0000319,SCI ,1.148,0,0,1.84
00066 ,0000323,MIN ,22.24,0,0,35.58
00066 ,0000324,SCI ,56.76,72.25,0,72.25
00066 ,0000340,SCI ,102.3975,166.5,0,163.84
00066 ,0000342,SCI ,35.34,0,0,56.54
00066 ,0000343,SCI ,32.92,0,0,52.67
00066 ,0000345,SCI ,81.18,132,0,129.89
00066 ,0000346,SCI ,46.27875,75.25,0,74.05
00066 ,0000348,SCI ,62.94,0,0,100.7
00066 ,0000349,SCI ,48.12375,0,0,77
00066 ,0000350,SCI ,91.47,144.5,0,144.5
00066 ,0000351,SCI ,146.37,238,0,234.19
00066 ,0000352,SCI ,17.51,20,0,20
00066 ,0000353,SCI ,17.2,19.25,0,19.25
00066 ,0000354,SCI ,41.72,0,0,66.75
00066 ,0000355,SCI ,30.04,0,0,48.06
00066 ,0000356,SCI ,191.88,271,0,271
00066 ,0000357,SCI ,49.2,74.75,0,74.75
00066 ,0000361,SCI ,24.16,0,0,38.66
00066 ,0000362,SCI ,28.75125,42.5,0,42.5
00066 ,0000364,SCI ,61.51,0,0,98.42
00066 ,0000365,SCI ,116.235,189,0,185.98
00066 ,0000367,SCI ,54.4275,88.5,0,87.08
00066 ,0000389,SCI ,2.85,0,0,4.56
00066 ,0000399,SCI ,461.56,0,0,738.5
00066 ,0000413,STTV,13.6490025,0,0,21.84
00066 ,0000422,L L ,11.30862,0,0,18.09
00066 ,0000486,PHOT,0.97,0,0,1.55
00066 ,0000555,SCI ,2,0,0,3.2
00066 ,0000574,PHOT,11.07999375,12.99,0,12.99
00066 ,0000584,PHOT,15.78,0,0,25.25
00066 ,0000595,PHOT,3.49525,0,0,5.59
00066 ,0000604,MARI,18.928735,19,0,19
00066 ,0000615,PHOT,8.75,0,0,14
00066 ,0000623,PHOT,2.583,0,0,4.13
00066 ,0000637,SCI ,8.97,0,0,14.35
00066 ,0000645,STTV,8.74955375,8.99,0,8.99
00066 ,0000650,SCI ,12.63,0,0,20.21
00066 ,0000652,I R ,30.13738,0,0,48.22
00066 ,0000660,SCI ,9.05,0,0,14.48
00066 ,0000677,PHOT,26.18,0,0,41.89
00066 ,0000678,SCI ,15.83,0,0,25.33
00066 ,0000679,PHOT,13.5717175,0,0,21.71
00066 ,0000682,PHOT,3.6,0,0,5.76
00066 ,0000686,SCI ,12.55,0,0,20.08
00066 ,0000803,SCI ,29.53,0,0,47.25
00066 ,0000805,PHOT,12.13,0,0,19.41
00066 ,0000808,PHOT,5.79125,0,0,9.27
